form	lemma	POS	morph
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
tun	tuen	ADJpos	PERS.=2|NOMB.=s|GENRE=m|CAS=n
conseil	conseil	NOMcom	NOMB.=s|GENRE=m|CAS=n
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
at	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
meint	maint	DETind	NOMB.=s|GENRE=m|CAS=r
mestir	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r
eü	avoir	VERppe	NOMB.=s|GENRE=m|CAS=r
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
colps	coup1	NOMcom	NOMB.=p|GENRE=m|CAS=r
doner	doner	VERinf	MORPH=empty
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
brant	brant1	NOMcom	NOMB.=s|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
acir	acier	NOMcom	NOMB.=s|GENRE=m|CAS=r
mulu	moudre1	VERppe	NOMB.=s|GENRE=m|CAS=r
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
devant	devant	PRE	MORPH=empty
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
tut	tot	DETind	NOMB.=p|GENRE=m|CAS=r
dis	di	NOMcom	NOMB.=p|GENRE=m|CAS=r
bin	bien1	ADVgen	DEGRE=-
coneü	conoistre	VERppe	NOMB.=s|GENRE=m|CAS=r
trestut	trestot	PROind	NOMB.=p|GENRE=m|CAS=n
recuverent	recovrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
entur	entor	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
tun	tuen	ADJpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
escu	escu	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
ainz	ainz	ADVgen	DEGRE=-
ke	que4	CONsub	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
tun	tuen	ADJpos	PERS.=2|NOMB.=s|GENRE=m|CAS=n
tresor	tresor	NOMcom	NOMB.=s|GENRE=m|CAS=n
i	i2	PROadv	MORPH=empty
seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
venu	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
miens	mien	PROpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n
par	par	PRE	MORPH=empty
matinet	matinet	NOMcom	NOMB.=s|GENRE=m|CAS=r
rendu	rendre	VERppe	NOMB.=s|GENRE=m|CAS=n
men	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
escintre	escïentre	NOMcom	NOMB.=s|GENRE=m|CAS=r
quant	cant1	CONsub	MORPH=empty
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
avers	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
veü	vëoir	VERppe	NOMB.=s|GENRE=m|CAS=r
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
diras	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
k	que4	CONsub	MORPH=empty
enkes	onque	ADVgen	DEGRE=-
grennur	graignor	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=c
ne	ne1	ADVneg	MORPH=empty
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
car	car	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
duner	doner	VERinf	MORPH=empty
mar	mar	ADVgen	DEGRE=-
serras	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
espererdu	esperdre	VERppe	NOMB.=s|GENRE=m|CAS=n
tant	tant	ADVgen	DEGRE=-
en	en2	PROadv	MORPH=empty
donez	doner	VERcjg	MODE=imp|PERS.=2|NOMB.=p
que	que1	CONsub	MORPH=empty
tuz	tot	PROind	NOMB.=p|GENRE=m|CAS=r
aeiz	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
vencu	veintre	VERppe	NOMB.=p|GENRE=m|CAS=r
que	que4	CONsub	MORPH=empty
tut	tot	PROind	NOMB.=p|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
augent	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
de	de	PRE	MORPH=empty
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
revestuz	revestir	VERppe	NOMB.=p|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
quant	cant1	CONsub	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Naimes	Naimes	NOMpro	NOMB.=s|GENRE=m|CAS=n
ot	öir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parler	parler	VERinf	MORPH=empty
sun	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
seinur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
idunc	idonc	ADVgen	DEGRE=-
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
unches	onque	ADVgen	DEGRE=-
n	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
grenur	graignor	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=c
.	.	PONfrt	MORPH=empty
barun	baron	NOMcom	NOMB.=p|GENRE=m|CAS=n
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
nel	ne1+il	ADVneg.PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
tenéz	tenir1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
a	a3	PRE	MORPH=empty
folur	folor	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
cestui	cest	PROdem	NOMB.=s|GENRE=m|CAS=r
servéz	servir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
sanz	sans	PRE	MORPH=empty
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r
contreditur	contreditor	NOMcom	NOMB.=s|GENRE=m|CAS=r
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
aprez	après	PRE	MORPH=empty
deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sur	sor2	PRE	MORPH=empty
tuz	tot	PROind	NOMB.=p|GENRE=m|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
valur	valor	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
jo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ostage	ostage2	NOMcom	NOMB.=s|GENRE=m|CAS=r
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
grant	grant	NOMcom	NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
menur	menor	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
tel	tel	PROind	NOMB.=s|GENRE=m|CAS=n
i	i2	PROadv	MORPH=empty
unt	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fiz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	a3	PRE	MORPH=empty
povere	povre	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
vavasur	vavassor	NOMcom	NOMB.=s|GENRE=m|CAS=r
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
partir	partir	NOMcom	NOMB.=s|GENRE=m|CAS=r
serat	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
u	o3	CONcoo	MORPH=empty
conteur	contor1	NOMcom	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
uns	un	DETndf	NOMB.=s|GENRE=m|CAS=n
arcevesques	arcevesque	NOMcom	NOMB.=s|GENRE=m|CAS=n
commence	comencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
paller	parler	VERinf	MORPH=empty
gentiz	gentil	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
hum	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
fud	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	et	CONcoo	MORPH=empty
joifne	juene	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
bacheler	bacheler	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	a3	PRE	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
merveille	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=r
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
tuz	tot	PROind	NOMB.=p|GENRE=m|CAS=r
amer	amer1	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
n	ne1	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=r
en	en1	PRE	MORPH=empty
france	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
tant	tant	ADVgen	DEGRE=-
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
sace	savoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
pener	pener	VERinf	MORPH=empty
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
si	si	ADVgen	DEGRE=-
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
cust	cost2	NOMcom	NOMB.=s|GENRE=m|CAS=r
voille	voloir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
tuz	tot	PROind	NOMB.=p|GENRE=m|CAS=r
mener	mener	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
mieuz	mieus	ADVgen	DEGRE=c
eme	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
chevals	cheval	NOMcom	NOMB.=p|GENRE=m|CAS=r
achater	achater	VERinf	MORPH=empty
e	et	CONcoo	MORPH=empty
beles	bel1	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
armes	arme	NOMcom	NOMB.=p|GENRE=f|CAS=r
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
vallez	vaslet	NOMcom	NOMB.=p|GENRE=m|CAS=r
adubber	adober	VERinf	MORPH=empty
qu	que1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tresor	tresor	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	a3	PRE	MORPH=empty
amasser	amasser	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
heritage	iretage	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne2	CONcoo	MORPH=empty
feu	fief	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
volt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
clamer	clamer	VERinf	MORPH=empty
e	et	CONcoo	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
voldrat	voloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
desheriter	desireter	VERinf	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
deit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
ost	ost	NOMcom	NOMB.=s|GENRE=f|CAS=r
ensemle	ensemble	ADVgen	DEGRE=-
od	o4	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
aler	aler	VERinf	MORPH=empty
porter	porter	VERinf	MORPH=empty
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r
armes	arme	NOMcom	NOMB.=p|GENRE=f|CAS=r
e	et	CONcoo	MORPH=empty
sun	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
mener	mener	VERinf	MORPH=empty
cumbatre	combatre	VERinf	MORPH=empty
