form	lemma	POS	morph
ed_FlorenceA.txt		_	_
Ha	ha	INJ	MORPH=empty
Deus	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Florence	Florence	NOMpro	NOMB.=s|GENRE=f|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
sofris	sofrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
paision	passïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
Comme	come1	CONsub	MORPH=empty
par	par	ADVgen	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
or	or4	ADVgen	DEGRE=-
Miles	Miles	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
male	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
traïson	träison	NOMcom	NOMB.=s|GENRE=f|CAS=r
Qant	cant1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r
mort	morir	OUT	NOMB.=s|GENRE=m|CAS=r
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
frere	frere	NOMcom	NOMB.=s|GENRE=m|CAS=r
an	en1	PRE	MORPH=empty
mé	mi2	NOMcom	NOMB.=s|GENRE=f|CAS=r
ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=r
maison	maison	NOMcom	NOMB.=s|GENRE=f|CAS=r
Puis	puis	ADVgen	DEGRE=-
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vuet	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
marier	marïer	VERinf	MORPH=empty
a	a3	PRE	MORPH=empty
coite	coite	NOMcom	NOMB.=s|GENRE=f|CAS=r
d	de	PRE	MORPH=empty
esperons	esperon	NOMcom	NOMB.=p|GENRE=m|CAS=r
Mès	mais1	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
icel	icel	DETdem	NOMB.=s|GENRE=m|CAS=r
apostre	apostle	NOMcom	NOMB.=s|GENRE=m|CAS=r
c	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
on	on	PROind	NOMB.=s|GENRE=n|CAS=n
qiert	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
Pré	Pré	NOMpro	NOMB.=s|GENRE=m|CAS=r
Noiron	Noiron	NOMpro	NOMB.=s|GENRE=m|CAS=r
Jemais	ja+mais1	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
