le	li	s|m|n	DETdef	le
ton4	tun	-	DETpos	ton4
conseil	conseil	s|m|r	NOMcom	conseil
je	m	-	PROper	je
avoir	at	ind|pst|3|s	VERcjg	avoir
mener	meint	p|m|r	VERppe	mener
mestier	mestir	s|m|r	NOMcom	mestier
et	eü	_	CONcoo	et
a3+le	as	p|m|r	PRE.DETdef	a3+le
coup1	colps	p|m|r	NOMcom	coup1
doner	doner	_	VERinf	doner
a3+le	al	s|m|r	PRE.DETdef	a3+le
brant1	brant	s|m|r	NOMcom	brant1
de	d	_	PRE	de
acier	acir	s|m|r	NOMcom	acier
moudre1	mulu	s|m|r	VERppe	moudre1
tu	te	-	PROper	tu
avoir	ai	-	VERcjg	avoir
devant	devant	_	ADVgen	devant
je	mei	-	PROper	je
tot	tut	-	DETind	tot
dire	dis	p|m|r	DETcar	dire
bien1	bin	p	ADVgen	bien1
come1	coneü	ind|psp|3|s	VERcjg	come1
trestot	trestut	s|m|n	DETind	trestot
regarder	recuverent	ind|pst|3|p	VERcjg	regarder
entor	entur	-	ADVgen	entor
le	le	s|m|r	DETdef	le
ton4	tun	-	DETpos	ton4
escu	escu	s|m|r	NOMcom	escu
ainz	ainz	-	ADVgen	ainz
que4	ke	_	CONsub	que4
le	le	s|m|r	DETdef	le
ton4	tun	-	DETpos	ton4
plusor	tresor	_	VERinf	plusor
i2	i	_	PROadv	i2
estre1	seit	-	VERcjg	estre1
venir	venu	s|m|n	VERppe	venir
vos1	vos	-	PROper	vos1
estre1	ert	-	VERcjg	estre1
il	li	-	PROper	il
mien	miens	s|m|n	NOMcom	mien
par	par	_	PRE	par
matin1	matinet	ind|pst|3|p	NOMpro	matin1
rendre	rendu	s|m|r	VERppe	rendre
mien	men	-	ADJpos	mien
encontrer	escintre	ind|pst|3|s	VERcjg	encontrer
cant1	quant	_	CONsub	cant1
tu	tu	-	PROper	tu
il	l	3|s|m|r	PROper	il
avoir	avers	_	NOMcom	avoir
vëoir	veü	s|m|r	VERppe	vëoir
je	me	-	PROper	je
dire	diras	-	VERcjg	dire
que4	k	_	CONsub	que4
envers2	enkes	_	PRE	envers2
engelers	grennur	s|m|r	NOMpro	engelers
ne1	ne	_	ADVneg	ne1
estre1	fu	ind|psp|3|s	VERcjg	estre1
car	car	-	CONcoo	car
de	de	_	PRE	de
doner	duner	_	VERinf	doner
mar	mar	-	ADVgen	mar
estre1	serras	-	VERcjg	estre1
esperit	esperdu	s|m|n	NOMcom	esperit
tant	tant	-	ADVgen	tant
en1	en	_	PRE	en1
doner	donez	-	VERcjg	doner
que4	que	_	CONsub	que4
