form	lemma	POS	morph
A	a3	PRE	MORPH=empty
Blaives	Bleives	NOMpro	NOMB.=s|GENRE=x|CAS=r
fuisent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
trestot	trestot	ADVgen	DEGRE=-
encontre	encontre1	PRE	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
A	a3	PRE	MORPH=empty
tant	tant	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r
com	come1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
porront	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
soufir	sofrir	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
si	si	ADVgen	DEGRE=-
firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
sans	sans	PRE	MORPH=empty
nisun	nesun	PROind	NOMB.=s|GENRE=n|CAS=r
contredit	contredit	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
À	a3	PRE	NOMB.=s|GENRE=m|CAS=i
Blaives	glaive	NOMpro	NOMB.=s|GENRE=x|CAS=r
vienent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
os	ost	NOMcom	NOMB.=p|GENRE=f|CAS=n
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=r
Garin	Garin	NOMpro	NOMB.=s|GENRE=m|CAS=r
Grans	grant	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
et	et	CONcoo	MORPH=empty
plenieres	plenier2	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
nus	nul	PROind	NOMB.=s|GENRE=n|CAS=r
plus	plus	ADVgen	DEGRE=-
beles	bel1	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
ne	ne1	ADVneg	MORPH=empty
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
s'	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
esforcierent	esforcier2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
cascuns	chascun	PROind	NOMB.=s|GENRE=m|CAS=n
mult	mout	ADVgen	DEGRE=-
