form	lemma	POS	morph
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
volt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
oïr	öir	VERinf	MORPH=empty
chancun	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
beau	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
semblant	semblant	NOMcom	NOMB.=s|GENRE=m|CAS=r
dunt	dont	PROrel	NOMB.=s|GENRE=f|CAS=i
bien	bien1	ADVgen	DEGRE=p
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
fait	faire	VERppe	NOMB.=p|GENRE=m|CAS=n
les	le	DETdef	NOMB.=p|GENRE=m|CAS=n
vers	vers1	NOMcom	NOMB.=p|GENRE=m|CAS=n
par	par	PRE	MORPH=empty
cunsonant	consonant	NOMcom	NOMB.=s|GENRE=m|CAS=r
ore	or4	ADVgen	DEGRE=-
laist	laissier	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
noise	noise	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
si	si	ADVgen	DEGRE=-
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
treie	traire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
avant	avant	ADVgen	DEGRE=-
dirum	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
flur	flor1	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
geste	geste1	NOMcom	NOMB.=s|GENRE=f|CAS=r
vallant	vaillant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
fiz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
pepin	Pepin	NOMcom	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
noble	noble1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
cumbatant	combatre	NOMcom	NOMB.=s|GENRE=m|CAS=r
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
duze	doze	ADJcar	NOMB.=p|GENRE=m|CAS=r
pers	per	NOMcom	NOMB.=p|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
entramerent	entr'amer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
tant	tant	ADVgen	DEGRE=-
k	que4	CONsub	MORPH=empty
unc	onque	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
severerent	sevrer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
tresk	tresque1	PRE	MORPH=empty
a	a3	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
pesant	peser	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
ke	que4	CONsub	MORPH=empty
guenes	Ganelon	NOMpro	NOMB.=s|GENRE=m|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
traï	träir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
od	o4	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
salvage	sauvage	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
mururent	morir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
vint	vint	DETcar	NOMB.=p|GENRE=m|CAS=n
millier	milier	NOMcom	NOMB.=p|GENRE=m|CAS=n
e	et	CONcoo	MORPH=empty
set	set	PROcar	NOMB.=p|GENRE=m|CAS=r
cent	cent	PROcar	NOMB.=p|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
cel	cel	DETdem	NOMB.=s|GENRE=m|CAS=r
barnage	barnage	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
dunt	dont	PROrel	NOMB.=s|GENRE=m|CAS=i
charles	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=n
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
doel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
.	.	PONfrt	MORPH=empty
