form	lemma	POS	morph
devant	devant	PRE	MORPH=empty
vaunuble	Vaunuble	NOMpro	NOMB.=s|GENRE=x|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Rigaus	Rigaut	NOMpro	NOMB.=s|GENRE=m|CAS=r
siege	siege	NOMcom	NOMB.=s|GENRE=m|CAS=r
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r
—	—	PONfbl	MORPH=empty
Ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
bien	bien1	ADVgen	DEGRE=p
jent	gent1	NOMcom	NOMB.=p|GENRE=m|CAS=r
?	?	PONfrt	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=n
empereriz	empererriz	NOMcom	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
—	—	PONfbl	MORPH=empty
Oïl	öil	ADVgen	DEGRE=p
,	,	PONfbl	MORPH=empty
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
doi	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
saint	saint	NOMpro	NOMB.=s|GENRE=m|CAS=r
denis	Denis	NOMpro	NOMB.=s|GENRE=m|CAS=r
!	!	PONfrt	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
.iii.m.	3000	PROcar	NOMB.=p|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
chevaliers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=r
gentis	gentil	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
.	.	PONfrt	MORPH=empty
huimés	huimais	ADVgen	DEGRE=-
devon	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
a	a3	PRE	MORPH=empty
Begon	Begues	NOMpro	NOMB.=s|GENRE=m|CAS=r
revenir	revenir	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
servise	servise	NOMcom	NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=n
empereriz'	empererriz	NOMcom	NOMB.=s|GENRE=f|CAS=n
Begon	Begues	NOMpro	NOMB.=s|GENRE=m|CAS=r
emportent	emporter2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
loheran	loherenc	NOMpro	NOMB.=s|GENRE=m|CAS=r
garin	Garin	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
ardane	Ardenne	NOMpro	NOMB.=s|GENRE=f|CAS=r
lessent	laissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
en	en1	PRE	MORPH=empty
ardenois	Ardenois	NOMpro	NOMB.=s|GENRE=m|CAS=r
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
mis	metre2	VERppe	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
en	en1	PRE	MORPH=empty
