form	lemma	POS	morph
dona	doner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
sien	suen	PROpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
moult	mout	ADVgen	DEGRE=-
en	en2	PROadv	MORPH=empty
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
loer	löer1	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Vers	vers2	PRE	MORPH=empty
Flandres	Flandres	NOMpro	NOMB.=s|GENRE=x|CAS=r
s'	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
tornerent	torner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
por	por2	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
regne	regne	NOMcom	NOMB.=s|GENRE=m|CAS=r
gaster	gaster	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
Flamens	Flamenc	NOMpro	NOMB.=p|GENRE=m|CAS=n
vienent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
encontre	encontre1	ADVgen	DEGRE=-
por	por2	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r
crier	crïer1	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
onques	onque	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
porent	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
envers	envers2	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
trover	trover	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Come	come1	CONsub	MORPH=empty
Begue	Begues	NOMpro	NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
sens	sens	NOMcom	NOMB.=s|GENRE=m|CAS=r
cuide	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
derver	desver	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Devant	devant	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
France	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
venus	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
ester	ester	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
»	»	PONpdr	MORPH=empty
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
