form	lemma	POS	morph
Ha	ha	INJ	MORPH=empty
,	,	PONfbl	MORPH=empty
Deus	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Florence	Florence	NOMpro	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
sofris	sofrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
paision	passïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
Comme	come1	CONsub	MORPH=empty
par	par	ADVgen	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
or	or4	ADVgen	DEGRE=-
Miles	Miles	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
male	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
traïson	träison	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
Qant	cant1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
frere	frere	NOMcom	NOMB.=s|GENRE=m|CAS=r
an	en1	PRE	MORPH=empty
mé	mi2	NOMcom	NOMB.=s|GENRE=f|CAS=r
ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=r
maison	maison	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
Puis	puis	ADVgen	DEGRE=-
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vuet	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
marier	marïer	VERinf	MORPH=empty
a	a3	PRE	MORPH=empty
coite	coite	NOMcom	NOMB.=s|GENRE=f|CAS=r
d'	de	PRE	MORPH=empty
esperons	esperon	NOMcom	NOMB.=p|GENRE=m|CAS=r
!	!	PONfrt	MORPH=empty
Mès	mais1	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
icel	icel	DETdem	NOMB.=s|GENRE=m|CAS=r
apostre	apostle	NOMcom	NOMB.=s|GENRE=m|CAS=r
c'	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
on	on	PROind	NOMB.=s|GENRE=n|CAS=n
qiert	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
Pré	Pré	NOMpro	NOMB.=s|GENRE=m|CAS=r
Noiron	Noiron	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Jemais	ja+mais1	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
mariage	marïage	NOMcom	NOMB.=s|GENRE=m|CAS=r
n'	ne1	ADVneg	MORPH=empty
avrai	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
benieçon	benëiçon	NOMcom	NOMB.=s|GENRE=f|CAS=r
!	!	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
s'	se	CONsub	MORPH=empty
avenoit	avenir	VERcjg	MODE=con|PERS.=3|NOMB.=s
or	or4	ADVgen	DEGRE=-
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
preïsse	prendre	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
baron	baron	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Por	por2	PRE	MORPH=empty
trestot	trestot	DETind	NOMB.=s|GENRE=m|CAS=r
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
dou	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
segle	siecle	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	DEGRE=-
pranroie	prendre	VERcjg	MODE=con|PERS.=1|NOMB.=s
Milon	Miles	NOMpro	NOMB.=s|GENRE=m|CAS=r
!	!	PONfrt	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=n
ne	ne1	ADVneg	MORPH=empty
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=r
i	i2	PROadv	MORPH=empty
fieroie	fïer	VERcjg	MODE=con|PERS.=1|NOMB.=s
:	:	PONfbl	MORPH=empty
trop	trop	ADVgen	DEGRE=-
resanble	resembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
felon	felon	NOMcom	NOMB.=s|GENRE=m|CAS=r
»	»	PONpdr	MORPH=empty
«	«	PONpga	MORPH=empty
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
respont	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Miles	Miles	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
traïtes	träitor	NOMcom	NOMB.=s|GENRE=m|CAS=n
provez	prover	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Par	par	PRE	MORPH=empty
saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r
