form	lemma	POS	morph
Que	que4	CONsub	MORPH=empty
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Karlon	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=r
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
pere	pere	NOMcom	NOMB.=s|GENRE=m|CAS=r
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
anperaor	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=r
puisant	poissant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
;	;	PONfbl	MORPH=empty
Se	se	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
vi	vivre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
longuemant	longement2	ADVgen	DEGRE=p
,	,	PONfbl	MORPH=empty
par	par	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
corz	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
sen	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r
Vinçant	Vincent	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
un	un	PROind	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
atre	autre	PROind	NOMB.=s|GENRE=m|CAS=r
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
randrai	rendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
gierdon	guerredon	NOMcom	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
»	»	PONpdr	MORPH=empty
Gremoarz	Grimoarz	NOMpro	NOMB.=s|GENRE=m|CAS=n
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
bons	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
leres	larron	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
loial	lëal	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
Warochiers	Warochier	NOMpro	NOMB.=s|GENRE=m|CAS=n
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
prouz	pro	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
vesal	vassal	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
revenu	revenir	VERppe	NOMB.=p|GENRE=m|CAS=n
an	en1	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
ost	ost	NOMcom	NOMB.=s|GENRE=m|CAS=r
tot	tot	ADVgen	DEGRE=-
a	a3	PRE	MORPH=empty
pié	pié	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
sanz	sans	PRE	MORPH=empty
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Gré	gré2	NOMcom	NOMB.=s|GENRE=m|CAS=r
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
an	en1	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
ot	ost	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
tot	tot	ADVgen	DEGRE=-
contreval	contreval	ADVgen	MORPH=empty
;	;	PONfbl	MORPH=empty
De	de	PRE	MORPH=empty
Warochier	Warochier	NOMpro	NOMB.=s|GENRE=m|CAS=r
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
prince	prince	NOMcom	NOMB.=p|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
chessal	chasel	NOMcom	NOMB.=p|GENRE=m|CAS=n
:	:	PONfbl	MORPH=empty
Sebile	Sebile	NOMpro	NOMB.=s|GENRE=f|CAS=n
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
raïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=n
an	en2	PROadv	MORPH=empty
fit	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
coral	coral2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
Karle	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=n
a	et	CONcoo	MORPH=empty
sui	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=n
home	ome	NOMcom	PERS.=3|NOMB.=p|GENRE=m|CAS=n
dormirent	dormir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
par	par	PRE	MORPH=empty
igal	igal	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n
gaite	gaite	NOMcom	NOMB.=s|GENRE=f|CAS=n
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
andormit	endormir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
ci	ci	ADVgen	DEGRE=-
qu'	que4	CONsub	MORPH=empty
a	a3	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
ajornal	ajornal	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
quant	cant1	CONsub	MORPH=empty
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
esvailliez	esveillier	VERppe	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
dit	dire	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu'	que4	CONsub	MORPH=empty
en	en1	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
chief	chief1	NOMcom	NOMB.=s|GENRE=m|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Entor	entor	PRE	MORPH=empty
soi	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
regardai	regarder	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ai	et	CONcoo	MORPH=empty
amont	amont	ADVgen	DEGRE=-
ai	et	CONcoo	MORPH=empty
a	a3	PRE	MORPH=empty
val	val1	NOMcom	NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n
porte	porte1	NOMcom	NOMB.=s|GENRE=f|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
overte	ovrir	VERppe	NOMB.=s|GENRE=f|CAS=n
arriere	ariere	ADVgen	DEGRE=-
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
corsal	corsal	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
A	a3	PRE	MORPH=empty
hate	haut	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
voiz	voiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
escrie	escrïer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
fit	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r
moult	mout	ADVgen	DEGRE=-
mortal	mortel	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Or	or4	ADVgen	DEGRE=-
sus	sus	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
baron	baron	NOMcom	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
traï	träir	VERppe	NOMB.=p|GENRE=m|CAS=n
sume	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
igal	igal	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
»	»	PONpdr	MORPH=empty
Karlemaigne	Charlemagne	NOMpro	NOMB.=s|GENRE=m|CAS=n
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
lieve	lever	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
a	a3	PRE	MORPH=empty
sui	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
prince	prince	NOMcom	NOMB.=s|GENRE=m|CAS=r
chesal	chasel	ADJqua	NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
N'	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
crie	crïer2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu'	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
perdu	perdre	VERppe	NOMB.=s|GENRE=m|CAS=r
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
empereres	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
ses	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
riches	riche	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
bernez	barné	NOMcom	NOMB.=s|GENRE=m|CAS=r
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
toz	tot	DETind	NOMB.=p|GENRE=m|CAS=r
lez	lez	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Mès	mais1	CONcoo	DEGRE=-
quan	cant1	CONsub	MORPH=empty
po	poi	ADVgen	DEGRE=-
n'	ne1	ADVneg	MORPH=empty
