form	lemma	POS	morph
E	et	CONcoo	MORPH=empty
quant	cant1	CONsub	MORPH=empty
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
entendirent	entendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
a	a3	PRE	MORPH=empty
pou	poi	NOMcom	NOMB.=s|GENRE=m|CAS=r
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
erragez	esragier	VERppe	NOMB.=p|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
«	«	PONpga	MORPH=empty
Par	par	PRE	MORPH=empty
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Nemes	Naimes	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=r
contrarïez	contrariier	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
:	:	PONfbl	MORPH=empty
En	en1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r
li	le	DETdef	NOMB.=s|GENRE=m|CAS=r
Roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
forment	forment2	ADVgen	DEGRE=-
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=r
enpirez	empirier	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
.	.	PONfrt	MORPH=empty
Cest	cest	DETdem	NOMB.=s|GENRE=m|CAS=n
chen	chien	NOMcom	NOMB.=s|GENRE=m|CAS=n
navra	navrer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Macer	Macaire	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
eust	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
esragez	esragier	VERppe	NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
Espor	espoir2	ADVgen	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
chen	chien	NOMcom	NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
het	häir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ou	o3	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
pres	près	ADVgen	DEGRE=-
ou	o3	CONcoo	NOMB.=s|GENRE=n|CAS=i
de	de	PRE	MORPH=empty
vez	viez	ADVgen	DEGRE=-
.	.	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
Duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Nemes	Naimes	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Beivere	Baviere	NOMpro	NOMB.=s|GENRE=f|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
taunt	tant	PROind	NOMB.=s|GENRE=n|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
proiser	prisier	VERinf	MORPH=empty
Par	par	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
col	col	NOMcom	NOMB.=s|GENRE=m|CAS=r
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
saili	salir1	VERppe	NOMB.=s|GENRE=m|CAS=r
saisi	saisir	VERppe	NOMB.=s|GENRE=m|CAS=r
maintenant	maintenant	ADVgen	DEGRE=-
le	le	PROper	NOMB.=s|GENRE=m|CAS=r
leverer	levrier	NOMcom	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
A	a3	PRE	MORPH=empty
Gaufroi	Gefrei	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
commanda	comander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que4	PROrel	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
parent	parent	NOMcom	NOMB.=s|GENRE=m|CAS=n
Oger	Ogier	NOMpro	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
E	et	CONcoo	MORPH=empty
quant	cant1	CONsub	MORPH=empty
Macer	Macaire	NOMpro	NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
